segment f1 f2
2 342.9220014157799 1940.7711138161196
2 397.2897588616951 1505.625624383982
2 433.21648974372357 1372.0251610426176
@ 283.8014545287388 1515.8200028847195
@ 305.9557838268813 1586.0107998970416
@ 313.8188785303398 1654.6957360808178
@ 318.34981014152515 1584.1114037029502
@ 324.0954573655575 1736.98336967141
@ 335.4817778442982 1635.6261107659252
@ 335.7033539435372 2331.9339356664964
@ 337.75932975029326 2186.320191907912
@ 342.49765416335686 1369.0144596505186
@ 344.6319126959568 1779.710419595387
@ 345.168647006861 1667.3477697793594
@ 345.3087186056777 1394.557857976784
@ 346.31596800718177 1601.7829423021033
@ 347.1160908275233 1735.5327911005686
@ 350.7591546784133 1695.8330625755773
@ 351.02587056682466 1467.3237664402263
@ 351.8910640687872 1534.3146948817664
@ 352.46171448014667 1427.4633081898126
@ 354.50552138710117 1886.2037261107844
@ 355.774272690204 1725.7275627506835
@ 356.6114164808251 1537.050471761203
@ 357.0833885207081 1612.6941446829258
@ 359.87391642043025 1669.8439478831478
@ 359.8869811843453 1623.7842602764279
@ 361.87446223591115 1500.667198629635
@ 362.7049918022902 1602.4098796383873
@ 363.71545876046446 1490.8455774531687
@ 364.23647682004037 1807.5715046804758
@ 364.899958836952 1961.1958442871417
@ 365.2876801564299 1595.369402093909
@ 367.5452500755014 1979.065440380653
@ 368.7247164940855 2091.4347652722977
@ 374.88546769593864 1617.074089493514
@ 374.88816717714946 1623.7819456585837
@ 382.2234481639213 1618.9867881398145
@ 382.3381462889828 1867.0835077993427
@ 389.7296395592611 1636.5941366582695
@ 390.7762219861942 1333.740531578867
@ 391.35547507375554 1507.240686309014
@ 391.8779495246114 1451.1824500631533
@ 393.00887489642025 1695.663645384923
@ 393.1721222815605 1793.2952623592096
@ 396.4308178022924 1444.5013093715288
@ 398.4671810495007 1656.5601605111856
@ 399.97408638071624 1215.9021943273724
@ 400.20141501519015 1544.4057914093207
@ 405.6186953064011 1631.8064403122414
@ 407.49066591816194 1121.4784836848455
@ 413.494568920605 1501.7405035562472
@ 415.1535032465786 1201.5585201639342
@ 434.68385948905905 1596.6975910305935
@ 441.3521292415177 1261.2405383925538
@ 447.18142330328885 1262.9556860741104
@ 449.944461901471 2219.750269587369
@ 467.3161307319199 1351.1531788144023
@ 527.7780176973268 1466.9224325142584
E 301.00176517310496 1761.393332401851
E 332.11605544129077 2036.4316771515173
E 352.50734011546854 1876.8384358332619
E 377.66568310666 1887.4226971343674
E 380.51714280062663 1947.8084622569988
E 380.58987342344454 1812.5316847430192
E 391.8063128632235 1887.837694356785
E 393.1747505779616 2147.1664492975174
E 400.44539082426456 1985.0385150077798
E 406.3907073574204 1918.2946708582094
E 413.2474299498271 1861.008371410654
E 416.0784967286004 1728.2831220848766
E 416.8564334691399 1852.6931716686931
E 418.1657306657642 1809.0270515168509
E 424.4340600875757 1715.2696422630986
E 425.51463144638365 1832.846256013927
E 425.9949674862947 1816.8949670673628
E 427.0418317220899 1685.8674225555103
E 427.62407759801795 1946.8150127441847
E 428.44774978732437 1860.0333079971765
E 428.99170165655585 1753.1778690304154
E 430.75146633431444 1748.5215402229649
E 431.500899076473 1579.811056475967
E 433.52685587259083 1896.283142551443
E 434.3396868629286 1772.7078054717424
E 441.3772010641961 1623.1876024533851
E 443.22389944687717 1814.1727925588195
E 444.2292954167722 1713.9501282804208
E 444.2337950691719 1849.1126813180379
E 446.153396447212 1647.072082694062
E 446.59674678054444 1932.505460409183
E 447.1664984243093 1826.0331833376304
E 447.56606941130445 1790.0563805560123
E 448.5719463954246 1786.0100611420273
E 448.8528081645512 1639.9972694770822
E 450.04222978327374 1710.5467580553002
E 454.31819207553906 1668.7254494188865
E 456.27161047683927 1854.1447313082458
E 456.9979451700853 1720.6416323746305
E 458.34868980311546 1769.9884565406082
E 458.5354284260662 1849.3549506581437
E 461.2151931160785 1734.224373875461
E 461.6604866078435 1383.5494070468208
E 461.9469227927891 1683.4204742304037
E 464.79841594667937 1771.5077028637509
E 467.04067470198856 1659.4210809920273
E 467.16062540479055 1767.7494620165553
E 469.0671442258839 1634.2594091327537
E 469.4959894635623 1688.8157553750293
E 472.2867784865581 1789.5114921978657
E 472.7504756658971 1696.0621305923373
E 474.6255008136084 1697.7754622883076
E 475.24268823162436 1777.6924585574736
E 475.85521854019527 1785.2334933966629
E 477.32727345022806 1768.4669296113427
E 480.13863090326555 1560.0789291161393
E 484.8338676667429 1815.9406651329869
E 486.46470819158145 1765.2658886558372
E 486.54133314776266 1774.552791841123
E 489.64800927722314 1763.7406283246557
E 496.66811300736674 1695.8872118466932
E 496.93564688122854 1843.9718879889451
E 503.8559019475683 1754.3549235179453
E 504.75533997200955 1470.015987787391
E 506.0698838381507 1215.1384467704731
E 510.654686451291 1831.4574141488426
E 512.2683667540114 1610.435916033046
E 513.9015098585154 1113.3273012254938
E 518.9495986124485 1737.1662507913652
E 526.8458114027624 1805.3606829855669
E 537.4403680171595 1634.4939960497459
E 551.6734598288177 1516.6848557965932
O 364.35832063162 1801.9846217014697
O 433.6474898620061 1303.3562328162486
O 444.78487402288965 1247.7646900374957
O 450.42782090890245 1555.444595230087
O 456.48036211759586 1164.880961103757
O 458.39341618289325 1389.0312413142046
O 467.0253377787884 1269.0067357715498
O 473.0339594413727 1291.9131570944883
O 483.5314339464721 1369.7617031171392
O 484.06648854553333 823.2079370127246
O 485.74399581509084 1341.1642882654098
O 489.33396731644467 1211.8532723345254
O 494.9067368144317 1376.8368735758975
O 495.97148632559436 1185.1377767428107
O 496.44167971508244 882.1618569789708
O 501.1995933681651 1060.1556828202592
O 503.3176242741361 1391.6806062762557
O 505.5521249662151 796.0628779644526
O 508.0102326573318 900.8304613770891
O 511.4337734361916 991.6979353612795
O 514.1895072781429 1025.4790502671115
O 514.2827449360647 1518.4899198180515
O 529.9480532142626 767.7835942101278
O 533.3038213521006 965.8877384733156
O 547.9575076972638 863.0682248934339
O 559.7691694280792 717.3686824321148
O 569.2466867291248 659.2702020462307
O 585.6828777116716 1518.1386624950737
O 586.263855332313 940.6263609984617
O 601.4777844818937 607.5896616845642
O 606.8551784814106 828.4505654981074
O 663.4672821039652 1291.6682256540416
O 729.7478554954713 1932.1154973876494
a 172.0044580315219 1735.4508624586883
a 301.21635773271026 1349.7016918750057
a 317.9055069076611 1563.40227370807
a 344.67446026721706 1572.342574384054
a 349.26919605563023 1934.9794726031237
a 350.50320429038175 1646.3183100139545
a 367.1383430250437 2023.976104907544
a 377.7600975353677 1468.1201455129856
a 386.4334358082655 1844.8754477783527
a 390.106621657884 1692.835604984087
a 394.9827287894692 1644.5162831957334
a 395.9450022689507 1601.1668090438334
a 397.2625882403667 1707.0011419385824
a 412.4955300760722 1505.3377231993384
a 413.44204363294097 2098.7799013496833
a 426.43932892782715 1646.4808816050459
a 427.6867383703546 1852.3316768340792
a 428.9476534329639 1687.9294735613068
a 430.79149365876856 1657.3261893941185
a 434.36931341453595 1631.0262681182478
a 445.3290383778301 1179.3374065324244
a 446.2607265907282 1571.6413845114619
a 448.4229945066335 1575.3396784569795
a 454.9918527179135 1271.0638424313174
a 459.3404802479109 1049.6970701519158
a 459.3939135508565 1567.4067622281248
a 461.48405743116564 1704.346349752499
a 463.31757691831524 1823.5422018731388
a 463.4243264320278 1664.489836004255
a 463.8134266976784 1683.257149395484
a 464.77127574093447 1488.1405713270676
a 472.3249650966564 1663.475580637747
a 474.0722235299951 1660.7396632168363
a 475.57923202818637 1515.2620390968732
a 476.0412567183355 1729.4202075647618
a 477.18789767782386 2153.830640353732
a 483.74359153332205 1589.594197845171
a 490.78285689668894 956.9546461065473
a 493.5073615613965 1561.9652156459672
a 493.725382897749 1640.4463703946458
a 495.08606755222524 1488.1414041816054
a 496.64492585382953 1715.611289027512
a 497.2743528553623 1627.853799505649
a 499.53224306821124 1622.7322033043768
a 499.5704232318422 1558.5535008976751
a 499.6260055089239 1681.5015996764741
a 500.5315227267858 1684.8875686751128
a 502.3284711163431 1505.9095718623335
a 503.31914563876086 1550.1103673899784
a 503.9754753967018 1635.6444990957866
a 505.80602598467675 1570.1974520393485
a 506.45384618898663 1501.6678329705119
a 507.9044349217662 1719.1451957955896
a 508.5590093381832 1536.1184171199811
a 510.0858664777149 1520.2173098609514
a 513.3470682842983 1732.314411756974
a 513.8646896844152 1548.5882993409105
a 514.3060067776825 1653.1765882051036
a 514.6612031998137 1150.8839217938237
a 519.0643288795865 1491.173483738052
a 520.6077096327068 1490.4008337213802
a 523.3417247467917 1625.3207272899965
a 524.5837761759105 1736.5913332199195
a 524.6960689820859 1706.0448805986555
a 527.9099626761513 1457.201417702039
a 533.7064081800264 1582.1972436405058
a 534.1907332766415 1457.1568352356162
a 534.3192526364973 1672.6452858333687
a 534.4174451688997 1321.1357137605023
a 534.7851912999812 1483.3429909625222
a 535.7896041331759 1501.5445995915702
a 536.9830867748543 1614.4106736698116
a 538.7830820758088 1372.955391054054
a 539.356812285174 1417.667462377819
a 539.8869795287677 1514.6104708440707
a 541.9931256228556 1678.3447438523317
a 543.8277731848206 1524.7589284270025
